lambda_0,R,chi,RChi
0.0001,0.0005998801076987495,2.398084773480596e-11,1.4385633521862712e-14
0.0002,0.0011995208620922888,1.9169438706719766e-10,2.2994141643309784e-13
0.0005,0.002997013440912344,2.9881559375435555e-09,8.955543508360062e-12
0.001,0.00598810707605403,2.3812958907458533e-08,1.4259454773553628e-10
0.0015,0.008973359864803285,8.006538052045234e-08,7.184554721224298e-10
0.002,0.01195284946502035,1.890843587570309e-07,2.260096876412693e-09
0.0025,0.014926652281252287,3.679736868090519e-07,5.492615271649149e-09
0.005,0.029712956706589053,2.8946390066790435e-06,8.600828348665837e-08
0.01,0.05889989396250819,2.2520853621016067e-05,1.326475890223015e-06
0.015,0.08762612207676608,7.446616824697183e-05,6.525181549398156e-06
0.02,0.11595037162645276,0.00017420247700465304,2.019884194693811e-05
0.025,0.14392750178405203,0.0003384322564583085,4.870970919518395e-05
0.03,0.17161127339843538,0.000587141986644913,0.00010076018399382066
0.035,0.19905739986645937,0.0009472272169276252,0.00018855258688435574
0.04,0.2263217295405905,0.0014526122639373176,0.0003287577199261664
0.045,0.2534509331217583,0.0021370864668693854,0.0005416465591899273
0.05,0.28047115254590216,0.003025484355168332,0.0008485610841036577
0.055,0.30737496834455647,0.004121670765116667,0.0012668984209544194
0.06,0.33411709845805565,0.00540478884873134,0.0018058323679165703
0.065,0.36061786104872584,0.006832360852675866,0.0024638713566050192
0.07,0.3867725488954047,0.008348221016901065,0.0032288627214490124
0.075,0.41246340813488774,0.009891859402492363,0.004080030041943135
0.08,0.43757134142922843,0.01140649172692675,0.004991153885952734
0.085,0.4619855098966277,0.012844513378452214,0.005933979062518302
0.09,0.48561005814849223,0.014170158934827837,0.006881171704315123
0.095,0.5083679555730505,0.015359878897880938,0.007808470233165372
0.1,0.5302023891550848,0.016401193663967847,0.008695952065630992
0.105,0.5510763208741485,0.01729074628292615,0.009528520846763302
0.11,0.5709708269942453,0.018032105372656256,0.010295806117072917
0.115,0.5898827482638358,0.018633673890536405,0.010991682764801697
0.12,0.6078220571017734,0.019106892984909557,0.01161359099891117
0.125,0.6248092253112951,0.019464810905182952,0.012161793422498209
0.13,0.6408727712029555,0.019721012888439235,0.012638660180743253
0.135,0.6560470841477855,0.019888868936078295,0.013048034472511634
0.14,0.6703705669387304,0.01998104109775009,0.0133947018487248
0.145,0.6838840983062832,0.020009190777742963,0.013683967392875144
0.15,0.6966297950181445,0.01998383282086904,0.013921333361678867
0.155,0.7086500409344856,0.019914292309740032,0.014112264060478585
0.16,0.7199867456499706,0.019808729558957672,0.014262022730614311
0.165,0.7306807952222366,0.019674207429343976,0.014375565529840293
0.17,0.7407716600166991,0.019516782290311306,0.01445747921537842
0.175,0.7502971285633746,0.01934160565166295,0.014511951182247849
0.18,0.7592931406678214,0.019153027805491194,0.014542762635729518
0.185,0.7677936973275798,0.018954697987934664,0.014553297649883994
0.19,0.7758308289909195,0.018749657826504274,0.014546562574832892
0.195,0.783434607220147,0.01854042639716187,0.014525211672154556
0.2,0.7906331878452423,0.018329076257114035,0.014491575991420612
0.205,0.7974528762276801,0.018117300488115645,0.014447693383728973
0.21,0.8039182073408727,0.017906471191179694,0.01439533821981416
0.215,0.810052035067219,0.017697690099066875,0.014336049880738095
0.22,0.8158756264699464,0.017491832077549938,0.01427115945437816
0.225,0.82140875787579,0.017289582312825222,0.014201814331768994
0.23,0.8266698104518986,0.017091467960369505,0.014129000579143356
0.235,0.8316758636204246,0.016897884980415508,0.014053563084445669
0.24,0.8364427851638957,0.016709120820715358,0.013976223556919192
0.245,0.8409853172641979,0.01652537353727555,0.013897596507155057
0.25,0.8453171580130199,0.016346767873874693,0.013818203361842292
0.28,0.8675375503405779,0.015383834148965584,0.013346053792439331
0.31,0.8847238744574631,0.014594556041971738,0.012912152167439815
0.34,0.8983115158133079,0.013950909104070404,0.012532262304251163
0.37,0.9092636351417712,0.01342412695647037,0.01220607047504489
0.4,0.9182421554729946,0.012989812889474692,0.011927793786822129
0.43,0.9257127132559737,0.012628569360601104,0.011690427207343305
0.46,0.9320101013826487,0.012325335142874497,0.011487336856085583
0.49,0.9373799201762854,0.012068493051492926,0.011312763053256493
0.52,0.9420056679676722,0.011849069524925407,0.011161890652622746
0.55,0.9460267428695488,0.011660095460193224,0.01103076212975461
0.58,0.9495506520516125,0.011496118545099842,0.010916146860562189
0.61,0.9526614527471002,0.01135283792802806,0.01081541107331759
0.64,0.9554256930903392,0.011226832072578966,0.010726403814152609
0.67,0.9578966630043505,0.011115355854667216,0.010647362281291596
0.7,0.9601174827180645,0.011016188626982075,0.010576835293685402
0.73,0.9621233786909371,0.010927519738229152,0.010513622211256936
0.76,0.9639433828089905,0.01084786164997789,0.010456724455123604
0.79,0.9656016164519146,0.01077598349075562,0.010405307077532771
0.82,0.9671182718106041,0.010710859841493324,0.010358668259510624
0.85,0.9685103697020427,0.010651630953096795,0.0103162150323135
0.88,0.9697923504971822,0.010597571608333425,0.010277443879607875
0.91,0.9709765391053974,0.01054806656923787,0.01024192517165193
0.94,0.9720735139654624,0.010502591079059863,0.010209290615964038
0.97,0.9730924021870202,0.010460695272113501,0.010179223090887332
1.0,0.9740411173805615,0.010421991626529526,0.010151448369235675
1.5,0.9837091382526468,0.010046790724633544,0.009883119845933949
2.0,0.9881608854421866,0.009887959811532033,0.00977089512258025
3.0,0.9923587877966937,0.00974809326165536,0.009673606012465431
4.0,0.9943630158395426,0.009685173205199677,0.009630578037250679
8.0,0.9972516623367497,0.009599413367472368,0.009573030938169434
12.0,0.9981833087412781,0.009573094951348294,0.009555703593431265
16.0,0.9986432983986212,0.009560356345179958,0.009547385794416701
32.0,0.9993260064665833,0.009541771071228009,0.009535339979228659
64.0,0.9996640913196569,0.00953271257743864,0.009529510456536664
128.0,0.9998323175252668,0.00952824165173566,0.009526643932595641
256.0,0.9999162267093281,0.009526020741967593,0.00952522271586303
512.0,0.9999581303388703,0.009524913921928564,0.009524515117010364
1024.0,0.9999790694151778,0.009524361420190546,0.009524162069735963
